file_name,drums_path,no_drums_path
/Users/mac/Downloads/fma_small/135/135990.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/135990/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/135990/no_drums.mp3
/Users/mac/Downloads/fma_small/135/135089.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/135089/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/135089/no_drums.mp3
/Users/mac/Downloads/fma_small/135/135339.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/135339/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/135339/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132117.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132117/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132117/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132675.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132675/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132675/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132310.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132310/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132310/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132272.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132272/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132272/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132448.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132448/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132448/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132677.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132677/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132677/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132449.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132449/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132449/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132773.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132773/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132773/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132171.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132171/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132171/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132561.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132561/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132561/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132788.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132788/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132788/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132775.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132775/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132775/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132589.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132589/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132589/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132779.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132779/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132779/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132786.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132786/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132786/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132793.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132793/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132793/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132787.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132787/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132787/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132791.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132791/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132791/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132961.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132961/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132961/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132424.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132424/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132424/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132140.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132140/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132140/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132141.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132141/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132141/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132019.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132019/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132019/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132964.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132964/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132964/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132794.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132794/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132794/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132434.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132434/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132434/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132420.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132420/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132420/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132568.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132568/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132568/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132781.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132781/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132781/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132795.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132795/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132795/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132965.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132965/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132965/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132914.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132914/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132914/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132041.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132041/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132041/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132453.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132453/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132453/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132679.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132679/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132679/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132678.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132678/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132678/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132122.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132122/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132122/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132456.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132456/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132456/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132045.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132045/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132045/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132455.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132455/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132455/no_drums.mp3
/Users/mac/Downloads/fma_small/132/132454.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132454/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/132454/no_drums.mp3
/Users/mac/Downloads/fma_small/104/104276.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104276/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104276/no_drums.mp3
/Users/mac/Downloads/fma_small/104/104277.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104277/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104277/no_drums.mp3
/Users/mac/Downloads/fma_small/104/104063.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104063/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104063/no_drums.mp3
/Users/mac/Downloads/fma_small/104/104062.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104062/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104062/no_drums.mp3
/Users/mac/Downloads/fma_small/104/104066.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104066/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104066/no_drums.mp3
/Users/mac/Downloads/fma_small/104/104067.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104067/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104067/no_drums.mp3
/Users/mac/Downloads/fma_small/104/104065.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104065/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104065/no_drums.mp3
/Users/mac/Downloads/fma_small/104/104064.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104064/drums.mp3,/Users/mac/Desktop/demucs_out/mdx_extra/104064/no_drums.mp3
